Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C178,4.7n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,15.6972,-40.4876,180,top
C179,2.2n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,28.4988,-48.2628,-90,top
C180,4.7n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,30.796,-41.8092,0,top
C181,2.2n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,16.3068,-47.1452,-90,top
C182,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,25.6862,-37.1932,90,top
C183,10u,C_1210_3225Metric,22.4028,-36.5544,90,top
C184,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,19.9458,-47.6024,90,top
C185,10u,C_1210_3225Metric,23.1648,-48.2844,90,top
C187,10u,C_1210_3225Metric,45.8456,-52.8028,90,top
C188,10u,C_1210_3225Metric,63.246,-52.9844,90,top
C189,4.7n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,47.5108,-39.5224,180,top
C190,2.2n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,60.4012,-46.9872,-90,top
C191,4.7n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,62.5588,-40.56,0,top
C192,2.2n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,49.5032,-46.7068,-90,top
C193,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,57.3772,-35.8724,90,top
C194,10u,C_1210_3225Metric,54.1528,-35.003,90,top
